distance_km,eta_total,Y0,e_d,Q_ideal,Q_noisy,gain_ideal,gain_noisy,R_ideal,R_noisy
0.0,0.1,1e-08,0.01,0.02,0.01000004899999559,0.1,0.100000009,0.03585594574581793,0.041274309955395966
0.0,0.1,1e-08,0.02,0.02,0.02000004799999568,0.1,0.100000009,0.03585594574581793,0.034724395424034625
0.0,0.1,1e-06,0.01,0.02,0.010004899955900396,0.1,0.1000009,0.03585594574581793,0.041271204725698514
0.0,0.1,1e-06,0.02,0.02,0.020004799956800386,0.1,0.1000009,0.03585594574581793,0.03472182335126358
0.0,0.1,0.0001,0.01,0.02,0.010489559396543108,0.1,0.10009000000000001,0.03585594574581793,0.040962520616650205
0.0,0.1,0.0001,0.02,0.02,0.020479568388450393,0.1,0.10009000000000001,0.03585594574581793,0.034465514711268706
25.0,0.0316227766016838,1e-08,0.01,0.02,0.010000154951557897,0.0316227766016838,0.031622786285456034,0.011338645621620949,0.013052061664882868
25.0,0.0316227766016838,1e-08,0.02,0.02,0.020000151789281204,0.0316227766016838,0.031622786285456034,0.011338645621620949,0.010980800463290284
25.0,0.0316227766016838,1e-06,0.01,0.02,0.010015494686044516,0.0316227766016838,0.031623744978907194,0.011338645621620949,0.013048984783421357
25.0,0.0316227766016838,1e-06,0.02,0.02,0.020015178467961976,0.0316227766016838,0.031623744978907194,0.011338645621620949,0.010978252094604757
25.0,0.0316227766016838,0.0001,0.01,0.02,0.011544785491382492,0.0316227766016838,0.031719614324023634,0.011338645621620949,0.012746910774043193
25.0,0.0316227766016838,0.0001,0.02,0.02,0.02151325925686448,0.0316227766016838,0.031719614324023634,0.011338645621620949,0.010726204373523314
50.0,0.010000000000000002,1e-08,0.01,0.02,0.010000489999514901,0.010000000000000002,0.0100000099,0.0035855945745817937,0.0041274031361176544
50.0,0.010000000000000002,1e-08,0.02,0.02,0.0200004799995248,0.010000000000000002,0.0100000099,0.0035855945745817937,0.0034724164717018016
50.0,0.010000000000000002,1e-06,0.01,0.02,0.0100489951494802,0.010000000000000002,0.010000990000000001,0.0035855945745817937,0.004124336378951976
50.0,0.010000000000000002,1e-06,0.02,0.02,0.020047995248470403,0.010000000000000002,0.010000990000000001,0.0035855945745817937,0.003469876161717212
50.0,0.010000000000000002,0.0001,0.01,0.02,0.014851965541142686,0.010000000000000002,0.010099000000000002,0.0035855945745817937,0.0038337499155084785
50.0,0.010000000000000002,0.0001,0.02,0.02,0.02475294583622141,0.010000000000000002,0.010099000000000002,0.0035855945745817937,0.003224190522320927
75.0,0.0031622776601683794,1e-08,0.01,0.02,0.010001549511168993,0.0031622776601683794,0.0031622876285456025,0.0011338645621620947,0.0013051783074707712
75.0,0.0031622776601683794,1e-08,0.02,0.02,0.020001517888492075,0.0031622776601683794,0.0031622876285456025,0.0011338645621620947,0.0010980569758233993
75.0,0.0031622776601683794,1e-06,0.01,0.02,0.01015490277569232,0.0031622776601683794,0.0031632744978907193,0.0011338645621620947,0.0013021184003752938
75.0,0.0031622776601683794,1e-06,0.02,0.02,0.02015174149455574,0.0031622776601683794,0.0031632744978907193,0.0011338645621620947,0.001095520989193095
75.0,0.0031622776601683794,0.0001,0.01,0.02,0.025021636832754515,0.0031622776601683794,0.0032619614324023625,0.0011338645621620947,0.0010363991963034717
75.0,0.0031622776601683794,0.0001,0.02,0.02,0.03471507281575952,0.0031622776601683794,0.0032619614324023625,0.0011338645621620947,0.0008647016488127693
100.0,0.001,1e-08,0.01,0.02,0.01000489995104949,0.001,0.00100000999,0.0003585594574581793,0.00041271245587296235
100.0,0.001,1e-08,0.02,0.02,0.020004799952048482,0.001,0.00100000999,0.0003585594574581793,0.00034721857728440674
100.0,0.001,1e-06,0.01,0.02,0.010489510978532448,0.001,0.0010009989999999998,0.0003585594574581793,0.00040966606595562984
100.0,0.001,1e-06,0.02,0.02,0.020479520958562397,0.001,0.0010009989999999998,0.0003585594574581793,0.0003446895233988875
100.0,0.001,0.0001,0.01,0.02,0.054549504500409136,0.001,0.0010999,0.0003585594574581793,0.000187147306142935
100.0,0.001,0.0001,0.02,0.02,0.06364033093917629,0.001,0.0010999,0.0003585594574581793,0.00014401250285183933
